PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=35.2 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=37.2 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=41.6 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=44.4 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=45.4 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=31.0 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=34.4 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=37.2 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=39.7 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=43.7 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=45.9 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=28.5 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=33.4 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=36.6 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=39.1 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=43.7 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=46.6 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=40.8 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=28.7 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=33.2 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=33.9 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=40.1 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=20.5 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=27.5 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=29.5 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=34.3 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=37.5 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=51.9 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=45.5 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=56.1 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=62.9 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=57.0 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=29.2 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=29.5 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=36.4 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=42.5 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=41.3 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=47.3 ms
64 bytes from 10.0.0.2: icmp_seq=127 ttl=64 time=49.0 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=49.2 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=24.6 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=28.9 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=21.4 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=37.7 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=51.3 ms
64 bytes from 10.0.0.2: icmp_seq=134 ttl=64 time=46.4 ms
64 bytes from 10.0.0.2: icmp_seq=135 ttl=64 time=46.6 ms
64 bytes from 10.0.0.2: icmp_seq=136 ttl=64 time=47.1 ms
64 bytes from 10.0.0.2: icmp_seq=137 ttl=64 time=28.0 ms
64 bytes from 10.0.0.2: icmp_seq=138 ttl=64 time=31.2 ms
64 bytes from 10.0.0.2: icmp_seq=139 ttl=64 time=34.8 ms
64 bytes from 10.0.0.2: icmp_seq=140 ttl=64 time=40.4 ms
64 bytes from 10.0.0.2: icmp_seq=141 ttl=64 time=45.1 ms
64 bytes from 10.0.0.2: icmp_seq=142 ttl=64 time=49.5 ms
64 bytes from 10.0.0.2: icmp_seq=143 ttl=64 time=45.1 ms
64 bytes from 10.0.0.2: icmp_seq=144 ttl=64 time=30.7 ms
64 bytes from 10.0.0.2: icmp_seq=145 ttl=64 time=32.5 ms
64 bytes from 10.0.0.2: icmp_seq=146 ttl=64 time=33.0 ms
64 bytes from 10.0.0.2: icmp_seq=147 ttl=64 time=37.0 ms
64 bytes from 10.0.0.2: icmp_seq=148 ttl=64 time=39.4 ms
64 bytes from 10.0.0.2: icmp_seq=149 ttl=64 time=44.3 ms
64 bytes from 10.0.0.2: icmp_seq=150 ttl=64 time=45.0 ms
64 bytes from 10.0.0.2: icmp_seq=151 ttl=64 time=34.2 ms
64 bytes from 10.0.0.2: icmp_seq=152 ttl=64 time=35.5 ms
64 bytes from 10.0.0.2: icmp_seq=153 ttl=64 time=30.8 ms
64 bytes from 10.0.0.2: icmp_seq=154 ttl=64 time=39.7 ms
64 bytes from 10.0.0.2: icmp_seq=155 ttl=64 time=39.1 ms
64 bytes from 10.0.0.2: icmp_seq=156 ttl=64 time=43.6 ms
64 bytes from 10.0.0.2: icmp_seq=157 ttl=64 time=45.2 ms
64 bytes from 10.0.0.2: icmp_seq=158 ttl=64 time=47.0 ms
64 bytes from 10.0.0.2: icmp_seq=159 ttl=64 time=24.7 ms
64 bytes from 10.0.0.2: icmp_seq=160 ttl=64 time=31.3 ms
64 bytes from 10.0.0.2: icmp_seq=161 ttl=64 time=36.3 ms
64 bytes from 10.0.0.2: icmp_seq=162 ttl=64 time=39.3 ms
64 bytes from 10.0.0.2: icmp_seq=163 ttl=64 time=42.4 ms
64 bytes from 10.0.0.2: icmp_seq=164 ttl=64 time=43.8 ms
64 bytes from 10.0.0.2: icmp_seq=165 ttl=64 time=45.4 ms
64 bytes from 10.0.0.2: icmp_seq=166 ttl=64 time=53.7 ms
64 bytes from 10.0.0.2: icmp_seq=167 ttl=64 time=29.9 ms
64 bytes from 10.0.0.2: icmp_seq=168 ttl=64 time=30.5 ms
64 bytes from 10.0.0.2: icmp_seq=169 ttl=64 time=36.7 ms
64 bytes from 10.0.0.2: icmp_seq=170 ttl=64 time=38.4 ms
64 bytes from 10.0.0.2: icmp_seq=171 ttl=64 time=41.9 ms
64 bytes from 10.0.0.2: icmp_seq=172 ttl=64 time=45.8 ms
