1656155571.593105,0
1656155571.696942,0
1656155571.801063,0
1656155571.904784,0
1656155572.008337,0
1656155572.111920,0
1656155572.215485,0
1656155572.319206,0
1656155572.422800,0
1656155572.526235,0
1656155572.630805,9
1656155572.736412,9
1656155572.840360,10
1656155572.944945,17
1656155573.049565,17
1656155573.154306,5
1656155573.258857,6
1656155573.363052,6
1656155573.467205,6
1656155573.571633,5
1656155573.675841,5
1656155573.780005,5
1656155573.884037,6
1656155573.988221,6
1656155574.092117,6
1656155574.197505,6
1656155574.303320,6
1656155574.409292,7
1656155574.515009,7
1656155574.620235,5
1656155574.725959,5
1656155574.831152,7
1656155574.935953,5
1656155575.040197,5
1656155575.144997,3
1656155575.249769,4
1656155575.361689,4
1656155575.466647,5
1656155575.571168,5
1656155575.675395,6
1656155575.781156,7
1656155575.886012,6
1656155575.990990,6
1656155576.095821,5
1656155576.199872,5
1656155576.304937,5
1656155576.410250,6
1656155576.514884,7
1656155576.619459,7
1656155576.724675,8
1656155576.829713,7
1656155576.938087,6
1656155577.042863,7
1656155577.148414,6
1656155577.252560,6
1656155577.357306,6
1656155577.462857,6
1656155577.567370,6
1656155577.672096,6
1656155577.776622,6
1656155577.882176,6
1656155577.987387,7
1656155578.092029,6
1656155578.196292,7
1656155578.301321,8
1656155578.406186,6
1656155578.511234,6
1656155578.616802,5
1656155578.721417,6
1656155578.826625,4
1656155578.931557,5
1656155579.036176,5
1656155579.140769,7
1656155579.246353,6
1656155579.350765,5
1656155579.459171,4
1656155579.564254,4
1656155579.668108,4
1656155579.773001,5
1656155579.879010,4
1656155579.983670,4
1656155580.088583,4
1656155580.193170,4
1656155580.297511,4
1656155580.401616,4
1656155580.505816,4
1656155580.610377,6
1656155580.715231,6
1656155580.821541,4
1656155580.925740,3
1656155581.029697,2
1656155581.134490,3
1656155581.238695,3
1656155581.344131,4
1656155581.449402,5
1656155581.554618,4
1656155581.660479,5
1656155581.764873,3
1656155581.868966,4
1656155581.973476,4
1656155582.079559,3
1656155582.184031,3
1656155582.288311,4
1656155582.392476,4
1656155582.497333,5
1656155582.603521,4
1656155582.707771,1
1656155582.811906,3
1656155582.916990,5
1656155583.021054,4
1656155583.126793,3
1656155583.231781,4
1656155583.336042,3
1656155583.440401,3
1656155583.550131,4
1656155583.655334,4
1656155583.760288,4
1656155583.864702,4
1656155583.968676,6
1656155584.073722,7
1656155584.178675,7
1656155584.283407,3
1656155584.388282,4
1656155584.492748,4
1656155584.597151,3
1656155584.701448,4
1656155584.805403,3
1656155584.910276,4
1656155585.014815,3
1656155585.118929,5
1656155585.223199,5
1656155585.328282,4
1656155585.432578,3
1656155585.536537,5
1656155585.641469,5
1656155585.745325,4
1656155585.857293,3
1656155585.961156,3
1656155586.065493,4
1656155586.170524,4
1656155586.275241,4
1656155586.379576,4
1656155586.484208,5
1656155586.589129,4
1656155586.693494,5
1656155586.797582,4
1656155586.901762,3
1656155587.007580,3
1656155587.113340,4
1656155587.218724,4
1656155587.323374,3
1656155587.428836,3
1656155587.534679,4
1656155587.641807,4
1656155587.746520,4
1656155587.850984,4
1656155587.955406,4
1656155588.060460,4
1656155588.164975,4
1656155588.269616,3
1656155588.375012,3
1656155588.479629,3
1656155588.583941,3
1656155588.688882,4
1656155588.793545,4
1656155588.897591,4
1656155589.003357,5
1656155589.108199,5
1656155589.212771,5
1656155589.318748,4
1656155589.423379,4
1656155589.528395,4
1656155589.633257,4
1656155589.737374,5
1656155589.841419,5
